stress_config,s_new,K_active,severity,scope,city,task_id,p_req_level,strategy,success,n_selected,p_commit,p_deliv,shortfall,ocr,seed_id
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T3,5x,S1_CapRR,0.0,2,1266.8365755,447.78007083685657,552.2199291631434,0.6465368307983017,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T3,5x,S4_GlobalCalib,0.0,3,1217.2490164477786,654.8660540451101,345.1339459548899,0.4620114329965411,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T3,5x,S6_Q10,0.0,4,1062.2448329786337,888.6444325248866,111.35556747511339,0.16342786056859918,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T4,5x,S0a_RoutineOracle,0.0,2,1041.5583585595275,587.9707615733944,112.02923842660562,0.4354893734552172,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T4,5x,S0b_StressOracle_new,1.0,3,905.6545190888854,905.6545190888854,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T4,5x,S1_CapRR,0.0,1,737.04618,336.26438860875305,363.73561139124695,0.5437675443772695,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T4,5x,S4_GlobalCalib,0.0,2,960.9141251787518,596.463085707044,103.536914292956,0.3792753482564445,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T4,5x,S6_Q10,1.0,3,952.8748432797569,833.6807530948671,0.0,0.12508892539824906,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T5,5x,S0a_RoutineOracle,0.0,2,827.3761097863031,438.27358462053144,361.72641537946856,0.4702849412297753,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T5,5x,S0b_StressOracle_new,1.0,3,922.8265742809948,922.8265742809948,0.0,0.0,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T5,5x,S1_CapRR,0.0,2,1266.8365755,631.7306322759621,168.26936772403792,0.5013321808879506,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T5,5x,S4_GlobalCalib,0.0,2,839.2535328758773,631.7306322759621,168.26936772403792,0.24727080967868523,0
K2_sev1.0_sco0.5,-0.365,2,1.0,0.5,City-C,T5,5x,S6_Q10,1.0,3,833.7445644163405,855.3582980084641,0.0,0.0,0
K3_sev1.0_sco0.5,-0.405,3,1.0,0.5,City-A,T1,5x,S0a_RoutineOracle,0.0,2,946.5585078188111,552.3519126410208,347.6480873589792,0.4164629992985587,0
K3_sev1.0_sco0.5,-0.405,3,1.0,0.5,City-A,T1,5x,S0b_StressOracle_new,1.0,3,1046.4611339479811,1046.4611339479811,0.0,0.0,0
K3_sev1.0_sco0.5,-0.405,3,1.0,0.5,City-A,T1,5x,S1_CapRR,0.0,2,1293.3561519999998,656.8779118128834,243.12208818711656,0.49211366815156765,0
K3_sev1.0_sco0.5,-0.405,3,1.0,0.5,City-A,T1,5x,S4_GlobalCalib,1.0,3,1253.8860878440246,998.7768377217649,0.0,0.20345488525269742,0
