seed_id,city,task_id,strategy,req_level,k,topk_overlap,capacity_regret,cap_strat,cap_oracle
1,City-A,T2,S1_CapRR,10x,5,0.6,0.06722080510643724,2168.679696676256,2324.965767406207
1,City-A,T2,S4_GlobalCalib,1x,1,1.0,0.0,539.239672457839,539.239672457839
1,City-A,T2,S4_GlobalCalib,2x,2,1.0,0.0,1000.4306107361513,1000.4306107361513
1,City-A,T2,S4_GlobalCalib,5x,4,0.5,0.05257025149000971,1795.1884518251804,1894.7984846881245
1,City-A,T2,S4_GlobalCalib,10x,7,0.5714285714285714,0.06254817100013477,2890.319285984521,3083.1656588350806
1,City-A,T3,S1_CapRR,1x,1,0.0,0.3061815863218079,313.81044735560323,452.29478083750496
1,City-A,T3,S1_CapRR,2x,1,0.0,0.3061815863218079,313.81044735560323,452.29478083750496
1,City-A,T3,S1_CapRR,5x,2,0.0,0.3303820357545535,554.7789633085204,828.5007167238539
1,City-A,T3,S1_CapRR,10x,4,0.5,0.08712673844689522,1383.2796800323742,1515.303096597385
1,City-A,T3,S4_GlobalCalib,1x,1,0.0,0.3061815863218079,313.81044735560323,452.29478083750496
1,City-A,T3,S4_GlobalCalib,2x,2,0.0,0.3303820357545535,554.7789633085204,828.5007167238539
1,City-A,T3,S4_GlobalCalib,5x,3,0.3333333333333333,0.14688532982078473,1007.0737441460252,1180.4670337394004
1,City-A,T3,S4_GlobalCalib,10x,6,0.5,0.08308292710179321,1979.572506342282,2158.943883643933
1,City-A,T4,S1_CapRR,1x,1,0.0,0.22385632122751542,403.9955808255598,520.5164866697128
1,City-A,T4,S1_CapRR,2x,1,0.0,0.22385632122751542,403.9955808255598,520.5164866697128
1,City-A,T4,S1_CapRR,5x,2,0.0,0.13340608891742955,860.9025651681188,993.4325110739102
1,City-A,T4,S1_CapRR,10x,3,0.3333333333333333,0.09785450563801801,1308.4172410851982,1450.3394954164692
1,City-A,T4,S4_GlobalCalib,1x,1,0.0,0.22385632122751542,403.9955808255598,520.5164866697128
1,City-A,T4,S4_GlobalCalib,2x,1,0.0,0.22385632122751542,403.9955808255598,520.5164866697128
1,City-A,T4,S4_GlobalCalib,5x,2,0.0,0.13340608891742955,860.9025651681188,993.4325110739102
1,City-A,T4,S4_GlobalCalib,10x,4,0.75,0.03631493115733431,1828.933727754911,1897.8541713335485
